k, annoyed
K, annoyed
fine, annoyed
Fine, annoyed
whatever, annoyed
Whatever, annoyed
whatever., annoyed
forget it, annoyed
doesnt matter, annoyed
..., annoyed
.., annoyed
ask someone else., annoyed
why r u asking me, annoyed
why are you asking me, annoyed
lol have fun with that, annoyed
idc, annoyed
Idc, annoyed
I dont care, annoyed
i dont care lol, annoyed
im ok, annoyed
Im ok, annoyed
Nothing., annoyed
nothing., annoyed
Wow., annoyed
wow., annoyed
?, annoyed
???, annoyed
????, annoyed
?????, annoyed
mhm, annoyed
mhmm, annoyed
mmhm, annoyed
mmmhm, annoyed
i didnt ask, annoyed
and?, annoyed
And?, annoyed
ok?, annoyed
Ok?, annoyed
okay?, annoyed
Okay?, annoyed
so?, annoyed
So?, annoyed
im busy, annoyed
Im busy, annoyed
not really interested, annoyed
ok, not_interested
Ok, not_interested
kk, not_interested
Kk, not_interested
hello, not_interested
hbu, not_interested
oh, not_interested
ohh, not_interested
Oh, not_interested
Ooh wow, not_interested
Oh Wow, not_interested
Oh wow, not_interested
ah ok, not_interested
Ah ok, not_interested
Idk, not_interested
idk, not_interested
Ask someone else?, not_interested
maybe ask someone else, not_interested
maybe ask someone else?, not_interested
Maybe ask someone else, not_interested
Maybe ask someone else?, not_interested
maybe ask some1 else, not_interested
maybe ask some1 else?, not_interested
Maybe ask some1 else, not_interested
Maybe ask some1 else?, not_interested
someone else, not_interested
yea no worries, not_interested
Yea no worries, not_interested
u?, not_interested
bye, not_interested
amigo, not_interested
not sure, not_interested
sorry for the late reply, not_interested
Sorry for the late reply, not_interested
yea i guess, not_interested
not really sure, not_interested
Not sure, not_interested
oh cool, not_interested
nice, not_interested
haha, not_interested
ha ha, not_interested
oo, not_interested
ooo, not_interested
Oooo, not_interested
Ooo, not_interested
Ooooo, not_interested
oooo, not_interested
Fun fact lmao, indifferent
lmao, indifferent
lmaoo, indifferent
bruh, indifferent
bruhh, indifferent
ah ic, indifferent
ic, indifferent
icic, indifferent
ic, indifferent
i see, indifferent
Ahhh, indifferent
Aahhh, indifferent
aaahhhhhh, indifferent
ahhh ic, indifferent
aahhh ic, indifferent
Uhuh, indifferent
Uhuhh, indifferent
Uhhuh, indifferent
Uuhhuh, indifferent
Uhuh, indifferent
Kinda, indifferent
Kindaa, indifferent
kindaa, indifferent
kinda, indifferent
what are u majoring in?, indifferent
What r u majoring in?, indifferent
whats ur major, indifferent
what classes do u take, indifferent
which professor do u take, indifferent
Yet at the same time so sad, indifferent
Isn’t he like 18 now, indifferent
Ikr, indifferent
ikr, indifferent
Yea i guess so, indifferent
i think so, indifferent
Sad, indifferent
Yez, indifferent
yez, indifferent
sure, indifferent
suree, indifferent
Sure, indifferent
Suree, indifferent
hmmm not sure, indifferent
not sure, indifferent
Not sure, indifferent
not sure, indifferent
I have to do it in September lol, indifferent
I like grape or peach, indifferent
Hmmm watermelon is a good first one, indifferent
Grape  watermelon  peach  fruit punch  and green apple are all 14 as well, indifferent
No promises it’s my legacy, indifferent
Half our apt has small dents from our locks cuz there’s no door stoppers tho big sad, indifferent
That’s pretty intense Kyle levels right there, indifferent
I’ll send the screenshot one sec, indifferent
Lmao i haven’t touched it, indifferent
It do be like dat, indifferent
Top 3 albums of all time?, indifferent
U have a spotify?, indifferent
whats ur spotify?, indifferent
I like Russ a lot I was listening to him today, indifferent
You’ll get a hang of em real quick, indifferent
I’m good! It’s a friends birthday tonight, indifferent
Cats, indifferent
Haha I’m a night owl, indifferent
Im chillin I got a few claws and have just been hanging with a couple roommates, indifferent
Lol that’s chill what show u watching?, indifferent
Damn I didn’t watch the right episodes then lol, indifferent
Is that your favorite show?, indifferent
I’m hiring a lit DJ, indifferent
Let’s rig one night, indifferent
BIG BET ok I’ll text u, indifferent
I didn’t even do anything I missed my turn, indifferent
They all ganged up smh, indifferent
Who do u wanna choose?, indifferent
Aight it’s her, indifferent
HAHA IT WAS ONLY US, indifferent
I have a friend with 2 A’s, indifferent
I started as insomniac and ended as insomniac, indifferent
Pretty boring, indifferent
A bit wbu, indifferent
The David Dobrik one?, indifferent
Hmmm maybeee, indifferent
I think it was like a week ago haha, indifferent
Kim K and Kylie Jenner status instantly, indifferent
Hey how’s it going haha yesterday I got busy, indifferent
It’s been 3 days and tbh I’m still tryna figure out the bio. What does it mean?, indifferent
I gotchu haha, indifferent
UBC is kinda hype tho I’ve been around there a lil bit and it’s always great, indifferent
There are literally no skips on Harry Styles first album, indifferent
I just listened to NIKI for the first time today would recommend, indifferent
Haha I searched revitalized and I came up first, indifferent
Truuuu it’s the highlight of quarantine so far, indifferent
Hahaha, indifferent
Also fuck yes Bernie and ACAB ofc, indifferent
Exact same lil drunk and Frank hits different, indifferent
I have a lot of friends there so I passported, indifferent
I’m a marketing analytics major :-), indifferent
Gotta do what you gotta do, indifferent
Haha no she hasn’t made one yet either, indifferent
So did u leave the stove on?, indifferent
I was gonna say that’s quite the fire hazard, indifferent
Ofc is that even a question, indifferent
Hey hey, indifferent
Im doing good!! I napped so long today so I’m wide awake now haha, indifferent
I’m a marketing and Information systems double major haha going into more of a data role hopefully after graduating, indifferent
I have so much more time to watch stuff tho so I’m happy about that, indifferent
Sorry I was so busy today!! Hope work went well, indifferent
What are you studying?, indifferent
Imma be really happy once ppl can start hanging out in large groups again haha, indifferent
Roller skating is so much fun but I’m so awful at it lol, indifferent
I wanna learn how to skateboard I feel like it’d be so fun, indifferent
They’re spread out through WA and I’m in U district haha so they don’t come around, indifferent
Heyyyyy, interested
Heyy, interested
Heyyy, interested
Heyyyy, interested
NO WAY, interested
ASKJDHASHD, interested
ASKJDHKSAJ, interested
WEIURYEUASD, interested
SALKJDLSAKJD, interested
HAHAHAHAHHAHAHA, interested
HAHAHAAHAHHAHAHA, interested
HAHAHAHHAHHAHAHA, interested
HAHAHAHAHAHAHHAHAHA, interested
HAHAHAHAHHAHAHA, interested
hey u up?, interested
Hey u up?, interested
hey you up?, interested
Hey you up?, interested
do u have snap?, interested
Do u have snap?, interested
snap?, interested
snap, interested
snap?, interested
Whats ur snap?, interested
Whats ur Snap?, interested
whats ur snap, interested
wanan go out?, interested
wanna go out??, interested
wyd, interested
wyd?, interested
wyd?, interested
NOOO WAYYY, interested
NOOOOO, interested
I HATE UUU, interested
I HATE UU, interested
I HATEE U, interested
UR THE WORST, interested
U SUCK, interested
;), interested
;), interested
ITS UR FAULT, interested
WOWWWW, interested
HAHAHAHHAHAHAHAHA, interested
HAHA, interested
HUSH, interested
dude ur so tall, interested
ur so tall wtf, interested
LMAAOOOO, interested
we really need to hang out more, interested
dude lets go out, interested
hey my parents arent home, interested
Hey my parents arent home, interested
heyyyy wyd, interested
